Seychelles,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
217,2017,,,,,,
218,2018,,,,,,
219,2019,,,,,,
220,2020,,,,,,
221,2021,,,,,,
222,2022,,,,,,
223,2023,,,,,,
224,2024,,,,,,
225,2025,,,,,,
226,2026,,,,,,
227,2027,,,,,,
228,2028,,,,,,
229,2029,,,,,,
230,2030,,,,,,
231,2031,,,,,,
232,2032,,,,,,
233,2033,,,,,,
234,2034,,,,,,
235,2035,,,,,,
236,2036,,,,,,
237,2037,,,,,,
238,2038,,,,,,
239,2039,,,,,,
240,2040,,,,,,
241,2041,,,,,,
242,2042,,,,,,
243,2043,,,,,,
244,2044,,,,,,
245,2045,,,,,,
246,2046,,,,,,
247,2047,,,,,,
248,2048,,,,,,
249,2049,,,,,,
250,2050,,,,,,
251,2051,,,,,,
252,2052,,,,,,
253,2053,,,,,,
254,2054,,,,,,
255,2055,,,,,,
256,2056,,,,,,
257,2057,,,,,,
258,2058,,,,,,
259,2059,,,,,,
260,2060,,,,,,
261,2061,,,,,,
262,2062,,,,,,
263,2063,,,,,,
264,2064,,,,,,
265,2065,,,,,,
266,2066,,,,,,
267,2067,,,,,,
268,2068,,,,,,
269,2069,,,,,,
270,2070,,,,,,
271,2071,,,,,,
272,2072,,,,,,
273,2073,,,,,,
274,2074,,,,,,
275,2075,,,,,,
276,2076,,,,,,
277,2077,,,,,,
278,2078,,,,,,
279,2079,,,,,,
280,2080,,,,,,
281,2081,,,,,,
282,2082,,,,,,
283,2083,,,,,,
284,2084,,,,,,
285,2085,,,,,,
286,2086,,,,,,
287,2087,,,,,,
288,2088,,,,,,
289,2089,,,,,,
290,2090,,,,,,
291,2091,,,,,,
292,2092,,,,,,
293,2093,,,,,,
294,2094,,,,,,
295,2095,,,,,,
296,2096,,,,,,
297,2097,,,,,,
298,2098,,,,,,
299,2099,,,,,,
300,2100,,,,,,
